ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54,Item55,Item56,Item57,Item58,Item59,Item60,Item61,Item62,Item63,Item64,Item65,Item66,Item67,Item68,Item69,Item70,Item71,Item72,Item73,Item74,Item75,Item76,Item77,Item78,Item79,Item80,Item81,Item82,Item83,Item84,Item85,Item86,Item87,Item88,Item89,Item90,Item91,Item92
1523,C,E,B,D,C,D,D,D,D,D,D,D,D,D,D,C,D,C,A,D,B,C,D,A,D,B,A,A,E,A,C,C,D,A,D,D,B,A,A,A,A,A,A,2,2,2,C,B,C,E,A,D,E,E,B,B,B,B,B,B,B,B,B,B,B,2,2,2,E,B,E,D,A,B,B,B,B,B,B,B,B,*,B,B,B,A,A,A,B,A,E,A
1524,C,A,D,B,B,B,E,D,C,A,A,2,C,C,D,E,2,2,E,2,2,B,E,C,E,A,D,D,E,E,D,C,D,D,2,2,B,C,2,B,2,2,2,2,C,2,C,C,D,E,D,E,C,E,B,A,B,E,B,B,C,D,A,A,2,2,D,2,C,C,E,B,B,A,B,C,D,2,B,E,B,C,B,2,2,2,2,2,2,2,2,2
1525,C,E,C,B,E,B,E,C,B,C,C,C,C,C,D,B,B,B,C,D,C,C,C,C,B,B,C,C,C,A,D,C,C,C,A,E,C,C,C,D,C,C,B,A,A,D,C,A,A,E,B,B,D,A,E,C,D,E,A,A,A,B,A,A,B,E,D,E,B,E,A,B,B,B,C,C,A,B,B,B,B,D,D,E,E,D,C,E,B,B,B,B
1526,C,E,D,A,E,D,C,D,*,A,C,E,C,C,D,A,D,C,A,B,*,A,E,A,C,A,A,A,B,A,D,A,C,A,C,D,D,A,B,E,B,B,D,B,B,E,B,C,B,B,A,D,B,A,B,A,B,A,D,D,B,E,A,C,A,B,D,A,E,B,E,D,C,B,B,C,B,A,B,E,B,A,B,A,A,E,B,A,B,E,C,A
1527,C,E,D,B,E,D,E,D,B,E,E,C,B,C,D,B,E,C,2,2,2,2,2,C,E,A,D,D,E,C,D,C,A,E,D,D,D,2,E,D,C,B,C,E,C,A,A,A,E,B,C,C,E,E,C,B,B,E,B,E,D,B,D,E,B,B,D,B,E,C,E,B,B,A,B,C,E,B,C,B,C,A,B,B,D,D,B,A,E,D,B,B
1528,C,A,D,B,E,D,C,A,D,B,E,D,A,D,D,B,D,D,A,D,D,B,C,D,D,D,C,D,D,A,A,B,A,D,A,A,C,B,B,D,C,B,E,C,B,E,B,D,E,D,D,C,2,A,C,A,A,A,A,B,C,B,C,C,B,B,B,E,D,C,B,C,B,E,A,C,B,B,D,A,A,C,B,A,D,C,B,B,B,B,A,E
1529,C,E,B,D,A,C,B,E,A,A,B,D,D,E,C,A,D,B,C,D,B,E,A,B,E,D,A,C,E,C,B,D,D,A,A,C,B,C,A,B,D,A,E,B,D,A,C,C,B,E,C,A,D,A,C,B,B,A,D,E,C,E,C,A,E,B,C,B,E,C,A,D,B,D,D,B,A,C,E,B,D,A,A,B,E,C,D,B,C,C,E,B
1530,C,B,E,A,D,B,E,B,C,D,D,B,E,B,A,A,D,A,E,C,A,D,B,A,E,B,E,D,C,B,C,C,A,E,B,C,D,E,B,A,B,E,C,C,C,D,C,D,A,B,E,C,A,A,E,B,D,E,C,A,C,C,B,A,D,B,C,E,D,C,E,B,B,E,D,C,A,C,D,D,A,B,E,C,D,B,A,A,A,A,E,A
1531,C,E,C,B,E,B,E,C,B,C,C,C,C,C,D,A,C,B,C,D,C,B,D,B,D,B,A,B,B,D,D,A,A,C,D,C,D,C,A,E,D,C,C,D,E,A,C,A,C,A,B,B,D,A,E,C,D,E,A,A,A,B,A,A,B,E,D,E,D,B,D,C,B,A,E,D,D,B,C,A,B,A,B,C,C,B,D,B,B,C,C,E
1532,C,E,D,B,E,D,E,D,E,C,E,C,C,C,D,B,C,D,C,C,C,C,C,C,D,B,D,D,B,E,D,A,D,E,C,E,A,C,E,D,A,A,C,D,D,A,E,A,D,E,D,D,E,E,B,D,B,E,B,E,D,E,A,C,E,E,2,2,E,C,E,A,B,A,B,D,C,E,B,D,C,A,D,C,D,C,E,E,E,E,C,B
1533,C,A,D,A,E,A,E,A,C,E,A,B,A,C,D,B,B,D,C,E,A,E,E,C,A,B,D,D,E,B,B,A,E,E,C,D,A,C,E,D,C,C,C,C,C,C,E,C,D,E,D,E,E,B,A,A,B,C,D,D,D,D,A,B,B,B,D,D,D,C,E,C,B,A,B,C,C,E,D,E,E,A,D,A,C,A,B,B,B,B,B,B
1534,C,E,D,B,E,A,D,D,C,A,C,B,A,C,D,B,C,A,C,A,A,A,A,B,E,B,A,D,B,D,C,C,E,A,C,D,D,C,E,B,C,C,A,A,C,C,C,A,B,A,C,D,C,A,B,B,B,D,A,B,D,E,E,C,B,B,D,E,D,C,E,C,B,B,D,D,D,D,D,D,D,A,B,C,A,E,B,A,E,A,B,A
1535,C,B,C,B,C,C,E,D,E,D,E,E,D,E,A,A,D,E,D,E,E,C,E,D,D,B,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,C,D,E,C,A,E,C,E,E,C,B,B,D,B,B,E,B,E,B,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,2
1536,C,B,D,E,A,C,D,C,C,D,E,B,C,A,D,B,E,A,C,C,C,C,C,C,E,A,D,C,B,A,D,C,E,A,C,B,D,E,E,E,E,E,D,D,D,D,E,A,E,B,C,D,B,D,E,A,A,B,C,A,D,E,C,D,B,B,B,B,E,C,A,D,A,E,C,D,B,E,D,B,A,A,B,C,E,D,D,A,A,A,A,2
1537,C,A,D,A,E,A,E,D,A,D,A,C,B,C,D,A,D,A,B,B,B,A,E,C,D,B,A,C,D,D,B,C,A,E,B,D,D,E,A,B,D,D,C,D,B,D,C,A,E,B,D,C,E,B,A,A,B,A,A,E,A,E,A,E,B,B,B,A,E,C,C,A,B,A,B,D,B,E,D,C,D,A,B,B,D,A,D,A,E,C,C,A
1538,C,E,D,B,E,D,E,D,C,B,C,B,C,C,B,B,B,B,C,2,A,2,2,C,B,B,B,E,E,C,C,B,E,E,A,B,B,B,B,B,B,B,B,B,B,B,B,D,E,B,A,E,B,E,B,A,B,A,B,E,B,E,B,B,B,B,B,2,D,C,E,C,B,E,D,B,B,B,B,B,B,B,B,D,2,2,C,E,B,E,B,D
1539,C,E,A,B,E,D,D,D,A,E,C,B,B,C,A,A,A,A,A,A,A,A,A,A,E,B,A,D,E,2,D,C,B,E,B,B,B,B,C,C,C,C,A,A,A,A,C,A,B,E,D,B,C,E,C,A,D,E,D,A,D,E,C,C,C,D,B,D,D,C,E,E,A,A,A,D,E,E,B,E,D,B,B,B,C,C,C,A,A,E,C,A
1540,C,E,D,B,C,D,E,D,A,E,D,B,B,C,D,B,C,D,C,D,A,A,D,C,E,B,A,D,E,C,D,A,E,E,A,C,C,C,E,B,B,B,D,A,C,D,E,A,D,E,A,E,D,E,B,A,B,B,D,E,A,E,A,B,B,D,D,D,E,C,E,B,B,A,B,C,B,E,D,B,C,A,B,D,C,D,B,A,A,E,B,A
1541,C,E,D,B,E,D,C,D,B,E,C,C,C,C,D,B,C,B,C,A,A,C,C,C,C,B,A,B,E,A,D,B,C,B,D,D,D,E,B,B,D,B,2,D,C,D,C,C,E,E,C,D,D,B,A,A,B,E,D,A,A,D,B,B,B,B,D,C,E,C,E,B,B,E,B,C,E,E,D,E,C,A,B,C,B,A,B,C,C,B,C,D
1542,E,C,B,A,D,D,E,2,C,C,2,2,2,D,D,A,C,2,A,2,A,2,2,C,E,B,A,2,E,E,E,2,D,A,B,E,D,E,E,B,B,2,A,A,D,E,C,A,E,E,D,C,C,B,B,E,B,A,D,B,C,D,C,A,C,2,D,2,E,A,E,B,B,A,2,2,2,2,2,2,2,A,E,C,D,D,B,A,B,A,E,A
1543,C,B,B,D,A,B,C,D,A,A,C,C,E,B,D,D,B,B,E,A,D,E,D,C,A,B,A,E,D,B,E,C,A,E,C,D,B,E,C,A,D,C,B,E,B,E,C,A,C,A,D,D,C,E,A,C,D,E,C,B,A,D,A,B,B,A,E,C,D,C,E,A,B,E,E,C,A,B,D,A,B,A,B,B,D,E,A,C,E,C,B,D
1544,C,B,D,A,A,E,E,C,D,E,E,E,E,C,C,B,D,D,C,A,A,E,C,A,D,C,E,C,B,D,A,C,E,B,B,A,D,D,B,E,C,C,A,A,C,2,D,B,E,C,D,B,E,E,E,B,B,E,D,D,C,D,A,C,B,A,C,A,E,D,E,E,B,B,C,E,B,B,A,E,D,C,B,C,D,A,B,C,A,A,D,A
1545,C,D,B,D,B,E,D,D,C,D,C,C,C,C,A,A,B,A,D,E,C,C,D,C,E,B,A,C,E,C,D,C,C,E,A,D,A,E,B,C,D,B,D,A,A,E,C,A,E,A,D,C,C,E,B,A,B,E,D,E,C,D,A,A,D,C,D,B,D,C,A,B,B,B,C,D,A,E,C,D,C,B,E,C,A,D,A,A,B,E,C,B
1546,C,D,D,B,E,B,E,D,B,E,C,B,A,C,D,B,C,D,C,D,A,A,D,C,E,B,A,D,E,C,D,C,E,E,A,D,C,C,C,B,2,2,C,A,C,D,A,A,D,E,C,D,E,E,B,A,B,E,B,A,D,D,A,A,D,B,D,D,D,C,E,E,B,A,C,D,B,B,B,E,C,2,B,2,2,2,2,A,B,A,B,A
1547,C,D,D,B,E,D,D,D,C,A,D,C,B,A,C,B,A,D,A,E,D,D,E,C,D,B,A,D,B,B,D,C,D,C,C,D,D,D,A,B,C,B,B,D,C,A,E,B,E,B,D,B,E,B,E,C,B,C,A,E,C,E,A,D,B,E,B,E,E,C,E,B,B,D,D,D,D,D,D,D,D,A,B,C,D,D,D,A,D,C,D,E
1548,D,E,C,D,D,B,D,A,C,B,C,E,A,B,D,B,D,B,B,D,A,E,C,A,B,B,A,C,D,B,D,B,A,E,C,D,C,C,E,C,A,A,B,C,A,D,C,A,C,B,C,B,A,B,A,C,E,B,D,A,C,D,B,D,C,D,B,D,E,D,B,C,B,C,A,D,A,B,B,C,B,A,D,B,C,D,C,B,D,B,A,2
1549,C,E,D,B,E,D,E,D,A,E,C,B,B,C,D,B,C,D,C,D,A,A,D,C,E,A,A,E,E,C,D,C,E,E,A,D,C,C,E,B,D,B,B,D,C,D,C,A,D,A,E,D,E,E,B,A,D,E,D,E,C,E,D,A,B,B,D,D,E,C,E,B,B,A,B,C,B,E,A,E,C,B,B,D,C,D,B,C,B,D,D,E
1550,C,D,D,A,E,D,E,D,A,E,C,B,B,2,D,E,D,D,A,A,2,2,2,C,E,B,D,D,E,C,D,C,C,E,A,D,C,E,E,D,A,B,C,D,C,A,C,A,D,E,C,D,D,E,B,A,B,E,B,E,C,E,B,A,B,C,D,B,B,C,C,C,B,A,D,D,B,E,D,2,B,B,D,D,D,D,A,E,B,E,C,D
1551,C,D,C,E,C,D,E,D,C,A,E,B,D,A,D,B,D,D,D,D,D,C,E,C,B,B,A,D,D,C,B,B,B,C,B,C,D,E,D,D,D,A,B,D,D,E,C,A,C,E,C,D,C,E,B,E,B,A,A,A,C,C,A,B,C,D,D,D,C,C,A,B,B,B,B,E,B,E,D,D,B,A,E,B,B,B,C,C,C,B,C,B
1552,B,A,E,C,A,D,E,B,D,B,A,C,E,B,D,D,B,C,D,B,B,A,C,A,D,A,E,D,C,A,B,D,A,E,B,D,C,E,C,A,E,C,B,B,B,E,E,A,C,B,C,A,D,C,A,D,B,D,D,D,B,D,B,E,B,A,C,E,D,A,A,C,B,D,C,B,E,A,C,A,D,A,C,B,C,A,E,C,A,D,B,A
1553,C,E,D,B,E,C,E,B,B,B,B,B,B,B,*,B,D,D,B,B,B,B,B,C,E,B,A,D,E,E,D,C,B,E,A,D,E,A,B,D,B,B,A,E,B,B,B,A,D,E,D,D,B,E,B,C,B,E,D,E,C,E,A,A,A,B,D,D,E,C,E,E,B,A,C,D,B,E,D,D,B,A,B,D,E,D,E,A,B,E,E,A
1554,C,E,D,B,E,D,E,D,A,E,C,B,D,C,D,B,C,D,C,D,A,B,D,C,E,A,A,D,E,C,D,C,E,E,A,D,C,C,B,B,D,B,A,A,C,C,C,A,D,E,C,D,C,E,C,A,B,E,D,E,D,E,A,E,A,B,C,B,E,C,E,B,B,A,B,D,B,E,D,E,C,A,B,D,C,D,B,A,E,E,C,A
1555,C,E,D,B,E,D,E,D,A,E,A,B,B,C,D,B,D,D,C,D,A,B,D,C,E,B,A,D,E,D,D,D,E,A,A,E,E,E,C,B,D,B,C,A,D,C,C,D,E,D,D,D,B,E,B,A,B,E,D,D,B,E,A,C,B,B,D,A,A,B,E,C,B,E,B,C,C,A,D,E,B,A,E,C,A,E,B,B,E,A,C,A
1556,C,A,2,2,E,2,E,D,2,A,2,2,2,2,2,2,2,2,2,2,2,2,2,C,E,B,2,2,2,E,D,2,E,2,A,2,2,E,2,D,2,2,2,A,2,2,C,2,C,D,2,B,D,E,2,A,B,E,B,E,2,D,B,A,2,2,2,2,E,B,E,B,B,2,2,2,2,2,2,2,2,2,B,2,2,2,2,A,2,E,B,2
1557,C,E,D,B,D,E,E,C,C,C,E,B,E,2,D,B,D,D,C,B,D,C,C,C,E,B,A,D,E,C,C,C,E,E,C,D,B,C,E,D,D,B,A,A,E,C,A,C,E,E,D,D,D,E,B,A,B,A,D,E,E,D,C,C,B,B,D,A,D,C,E,B,B,A,B,C,D,E,D,E,C,A,B,E,C,E,E,A,A,E,A,2
1558,C,E,C,B,*,B,B,D,C,E,E,C,B,C,D,B,B,B,D,E,B,B,B,C,E,C,D,B,A,B,C,D,B,B,D,A,D,C,B,D,A,C,B,D,C,B,C,D,D,B,B,B,B,E,B,C,B,B,B,E,B,B,D,B,B,B,C,B,E,C,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,B,C,B,A,B,A
1559,C,A,D,B,E,A,E,A,C,A,A,C,C,B,B,A,B,D,A,B,B,C,A,C,E,B,A,A,E,A,C,C,A,E,B,E,D,E,A,E,C,B,B,C,A,C,C,D,C,B,A,C,D,B,B,C,A,B,A,C,B,E,B,C,B,C,A,B,B,A,C,C,E,A,B,C,D,E,D,B,B,C,B,A,A,B,E,A,D,B,B,A
1560,C,E,D,A,C,E,B,D,A,C,C,E,B,D,A,D,B,D,A,C,D,A,A,C,B,D,E,A,D,C,A,B,E,C,A,C,D,C,A,C,B,A,E,D,A,E,C,E,B,E,A,C,C,A,C,A,B,E,D,A,E,E,C,B,A,D,C,C,D,A,E,D,B,D,B,C,E,B,C,A,D,B,C,E,B,D,B,A,D,A,C,B
1561,C,D,D,B,B,D,E,D,A,E,C,B,B,C,B,B,C,D,C,D,A,A,D,C,E,B,A,D,E,E,D,A,E,A,A,D,C,E,B,B,B,B,A,A,A,C,C,A,E,E,C,D,D,E,A,C,B,C,D,E,B,E,A,A,B,C,D,B,E,C,E,C,B,A,B,C,B,A,D,D,C,B,B,D,C,D,B,A,B,E,B,A
1562,C,A,E,C,D,C,D,B,C,C,C,C,C,C,D,B,C,D,B,A,B,D,D,A,E,B,A,C,B,A,D,C,D,E,D,D,D,E,A,B,B,A,C,D,D,D,C,D,C,B,A,E,C,B,A,A,B,B,B,D,C,B,A,2,B,E,D,B,C,A,E,D,B,A,C,C,C,C,C,C,C,A,E,C,D,D,C,D,E,E,C,D
1563,C,E,D,B,E,D,E,D,A,E,C,D,D,D,D,D,D,D,D,D,D,D,D,C,E,B,A,A,B,A,C,C,D,E,A,D,A,A,A,A,A,A,A,A,A,A,E,A,C,E,D,D,B,E,B,A,B,E,C,E,B,B,A,A,A,A,A,A,E,A,E,B,B,A,B,B,B,B,B,B,B,B,B,C,D,D,B,B,B,B,2,2
1564,C,E,D,B,E,D,E,D,C,D,C,C,D,C,A,B,D,C,D,D,A,C,D,C,D,A,D,B,B,C,D,C,E,E,B,D,C,E,C,D,2,B,2,D,D,D,C,A,C,E,A,D,E,D,C,B,D,C,D,E,C,*,C,B,B,B,D,D,E,C,E,C,B,A,B,D,B,B,D,E,C,A,B,E,B,D,E,A,C,D,B,D
1565,B,B,D,B,E,D,B,D,A,E,E,D,C,C,D,B,B,C,A,B,E,D,B,C,D,A,A,A,B,D,D,2,D,E,D,C,B,E,A,D,2,E,B,A,D,A,C,A,D,E,D,E,E,E,A,A,B,E,D,B,B,E,A,C,B,C,D,E,E,C,E,B,B,A,B,C,B,E,D,B,C,B,B,C,C,D,A,A,E,B,C,C
1566,C,2,D,B,E,D,C,E,C,A,D,C,C,C,B,A,B,D,A,C,C,C,C,C,D,A,A,D,E,B,C,C,D,C,A,D,A,E,E,D,B,E,A,C,B,B,A,D,E,E,E,E,C,A,D,C,B,B,C,B,A,B,A,B,B,B,C,B,C,A,B,B,B,E,B,A,A,C,E,C,B,E,E,B,B,B,B,D,D,D,D,D
1567,C,A,D,B,E,D,E,D,B,B,E,C,C,C,D,B,D,D,C,D,B,B,2,C,E,B,A,A,E,E,D,C,A,E,A,D,A,C,E,B,D,B,A,E,C,C,C,A,E,E,A,D,E,E,A,A,B,A,D,B,D,E,A,B,B,B,D,B,D,C,E,C,B,A,B,C,D,A,D,C,A,A,B,C,D,B,B,A,A,E,B,B
1568,C,A,B,B,E,D,C,A,D,A,D,B,C,D,D,D,C,D,A,D,B,2,2,C,E,B,A,D,A,D,C,A,B,A,A,C,A,A,A,D,D,B,C,E,2,2,A,D,D,B,D,A,E,C,A,A,B,C,B,A,2,2,2,2,2,2,2,2,D,C,A,E,A,A,B,B,A,B,B,C,A,A,C,B,B,C,A,A,D,C,B,A
1569,C,E,D,A,E,D,E,D,C,E,D,C,C,C,D,A,D,D,A,D,D,D,2,C,E,B,B,D,E,E,D,E,B,E,A,D,A,C,A,B,C,D,E,D,C,B,E,A,E,E,D,D,C,B,E,A,B,E,D,E,D,E,E,E,E,E,E,E,E,B,E,C,B,A,B,C,B,E,D,E,B,B,B,B,B,B,B,B,B,B,B,B
1570,C,C,D,B,B,A,D,D,2,D,C,C,D,C,D,B,D,D,C,C,C,A,C,D,E,A,C,C,E,C,D,C,A,E,A,C,B,E,B,B,C,B,C,C,E,A,C,A,E,E,E,C,D,A,B,C,B,B,C,E,2,D,C,C,B,C,D,D,B,B,C,C,D,B,C,A,B,A,C,D,E,D,B,C,B,B,D,C,C,A,C,2
1571,C,E,D,B,C,D,B,D,C,B,C,A,C,A,C,A,A,C,C,B,A,B,2,A,D,A,A,C,E,A,B,C,E,E,C,B,C,D,E,C,D,C,C,D,2,2,C,C,D,B,C,D,E,E,A,A,B,E,D,A,A,D,B,A,B,B,D,2,D,B,E,C,B,E,2,C,C,C,B,B,C,E,B,A,A,E,A,A,E,A,E,A
1572,C,D,C,A,D,E,B,A,C,D,B,C,A,A,C,C,A,2,C,E,C,B,A,C,E,B,E,D,B,C,C,C,E,E,A,E,C,C,E,D,A,E,A,D,D,D,C,A,D,B,A,B,E,E,B,A,B,D,D,E,B,E,E,B,B,D,D,D,E,C,E,B,B,A,D,C,B,E,A,E,C,A,B,D,C,D,B,A,B,E,B,A
1573,C,E,D,B,E,2,2,D,B,D,D,D,E,2,C,C,2,E,2,2,2,2,2,B,E,E,D,D,E,E,D,C,E,E,A,E,A,E,C,D,D,2,2,2,2,2,B,A,E,E,C,A,D,E,B,A,B,E,D,A,B,B,C,E,2,2,2,2,D,C,E,C,B,E,B,C,B,E,A,E,B,A,E,D,2,2,2,2,2,2,2,2
1574,C,A,B,C,C,A,D,B,C,B,D,A,A,D,C,B,D,D,A,B,D,C,E,A,A,B,A,D,B,C,D,A,B,C,B,E,E,C,D,A,A,B,D,D,B,A,A,C,B,E,A,A,C,E,B,B,B,B,D,E,B,B,A,C,C,A,D,B,D,C,C,A,B,E,D,E,A,B,C,B,D,B,B,D,E,B,A,D,E,D,C,C
1575,C,E,D,B,E,D,E,D,C,D,A,C,C,2,D,B,D,C,D,2,C,B,C,C,D,B,A,D,E,2,D,A,C,B,D,C,E,A,A,B,C,D,B,C,C,E,A,A,C,2,D,D,B,E,C,A,E,D,B,C,A,E,C,A,A,E,D,A,B,C,A,B,B,A,D,D,B,C,D,E,B,A,C,C,B,E,D,C,B,E,C,E
1576,B,E,D,D,A,B,C,D,A,C,D,D,D,B,A,A,B,B,A,B,D,D,A,C,A,B,D,A,B,B,B,A,E,A,D,D,C,C,D,E,C,B,B,C,E,C,C,B,B,D,A,B,B,B,C,A,D,C,D,A,B,E,A,B,E,D,D,C,D,C,E,B,C,E,B,D,B,A,A,C,B,A,C,C,C,B,A,D,A,E,D,C
1577,C,E,D,B,E,D,E,D,A,E,C,B,B,C,D,B,C,D,C,D,A,A,D,C,E,B,A,D,E,C,D,C,E,E,C,E,C,C,E,B,D,E,C,D,A,C,A,A,D,E,B,B,C,E,B,D,B,E,D,A,D,B,A,B,B,E,D,D,E,C,E,B,B,A,B,C,B,E,D,E,C,A,D,B,C,D,B,A,E,E,B,A
1578,D,D,B,B,E,B,E,B,A,B,C,A,B,B,D,A,D,D,A,B,A,B,B,A,D,B,D,B,E,A,E,C,B,C,D,D,B,E,B,E,B,D,A,E,A,D,E,B,A,C,B,B,B,E,A,D,B,A,B,B,A,B,B,B,B,A,D,B,D,E,E,E,B,E,B,A,E,B,A,E,B,C,B,E,D,A,D,B,E,E,C,B
1579,C,2,B,B,E,B,A,D,C,E,C,B,E,C,B,B,C,D,C,B,D,A,D,2,E,A,A,D,E,E,D,A,D,A,A,D,A,2,D,D,C,B,C,A,E,B,C,A,D,E,D,E,D,E,B,B,B,E,D,E,E,B,C,A,D,B,D,2,E,C,E,C,B,A,B,C,B,A,D,E,C,A,B,C,C,C,B,A,A,2,2,2
1580,C,E,D,B,E,D,E,D,C,A,E,A,C,C,A,C,2,2,2,2,2,2,2,C,E,B,A,D,E,C,D,C,D,E,A,D,D,E,E,C,C,B,B,A,2,2,B,2,E,A,C,E,C,E,B,C,A,E,D,A,2,E,A,2,D,2,2,2,E,C,E,C,B,A,B,C,B,E,D,E,C,A,B,D,C,D,B,A,B,A,C,A
1581,C,E,D,B,E,B,E,D,C,E,C,B,C,C,D,B,D,D,C,D,A,A,D,C,E,B,E,D,E,E,D,C,E,D,A,A,A,E,A,D,A,E,C,A,D,B,C,C,D,E,D,D,E,E,B,A,B,E,D,D,E,D,C,B,E,C,B,E,D,C,E,D,B,A,C,B,B,A,D,C,E,D,E,C,B,E,C,E,E,E,C,B
1582,C,D,A,C,E,B,C,C,C,A,A,E,A,E,E,C,A,D,B,A,B,B,C,C,E,B,B,C,B,D,B,A,D,D,C,B,A,C,A,C,B,D,D,D,B,D,B,A,C,B,C,E,C,C,D,E,D,A,C,A,E,E,C,B,B,C,B,D,C,E,A,D,B,B,E,C,B,D,D,A,B,D,B,C,B,D,A,A,B,C,C,D
1583,C,E,D,B,E,B,E,D,A,E,A,B,B,C,D,B,B,D,C,D,A,A,D,C,E,B,A,D,E,C,D,E,C,E,D,D,C,C,E,B,D,B,A,A,A,B,E,A,D,E,C,D,D,E,B,A,D,E,C,E,D,B,A,B,A,B,D,B,E,C,E,A,B,A,B,C,B,E,D,E,C,A,B,C,C,D,B,A,B,B,B,B
1584,B,E,C,B,2,D,E,D,C,E,B,C,2,2,D,D,2,2,2,2,2,2,2,C,A,B,2,B,C,2,C,A,D,D,2,2,B,E,2,D,2,B,2,D,2,C,C,D,B,E,D,2,2,B,B,2,A,A,2,B,B,B,2,2,B,2,C,2,E,B,E,C,B,A,E,E,C,E,C,2,B,D,2,2,C,2,2,A,A,B,2,2
1585,C,E,D,B,E,B,C,E,A,A,C,E,A,A,D,A,B,D,A,A,D,D,B,C,D,E,D,C,A,C,B,C,D,C,B,D,C,A,A,B,E,B,C,C,E,D,C,D,E,E,E,E,D,B,A,B,C,C,C,C,A,B,A,E,E,B,B,C,E,A,E,E,B,E,C,B,D,C,C,C,C,C,B,C,A,C,C,A,E,C,C,C
1586,D,E,D,E,E,D,E,D,C,A,C,C,C,C,D,A,E,B,B,D,D,A,C,C,B,A,A,B,B,E,B,B,A,E,B,E,B,E,A,B,B,B,C,D,C,B,B,D,B,A,D,E,C,C,A,C,A,C,D,E,A,B,E,D,A,E,D,B,B,B,E,A,B,A,A,D,B,C,D,A,B,E,E,A,D,D,B,D,A,E,C,E
1587,C,D,D,A,B,D,C,A,C,B,C,E,B,D,A,A,D,A,B,D,B,D,A,C,B,B,C,A,D,A,B,C,E,A,C,D,A,E,D,C,A,B,D,C,E,E,C,D,C,E,D,E,C,C,B,D,B,B,D,A,C,E,C,E,B,A,D,B,B,C,A,D,B,E,D,C,B,A,B,C,D,A,B,E,C,D,A,E,D,A,C,B
1588,C,E,D,A,E,D,E,C,C,B,E,B,E,C,B,C,D,D,C,E,B,E,D,C,E,B,A,A,B,A,C,C,D,A,A,D,E,B,C,D,C,C,*,B,D,C,E,D,C,C,A,D,C,B,D,E,D,C,B,D,A,E,D,A,B,B,D,A,D,A,B,B,C,B,A,C,B,B,B,B,C,A,B,D,A,D,D,B,C,C,C,C
1589,B,D,D,D,A,D,C,A,C,A,C,C,B,C,D,E,E,D,A,A,B,E,E,C,E,A,A,C,D,E,D,C,B,C,B,D,D,E,C,C,D,B,B,A,D,A,E,D,D,D,C,D,B,A,D,A,D,B,C,B,A,D,D,A,B,A,C,D,E,C,E,B,B,A,D,C,C,E,B,D,A,A,D,E,B,B,B,B,B,A,C,C
1590,C,E,D,B,E,B,E,D,C,B,A,C,B,A,D,B,D,A,A,D,B,E,E,C,E,B,D,D,E,D,A,A,D,A,A,C,D,E,B,D,C,A,B,B,D,A,A,B,C,B,A,B,E,E,C,A,B,A,E,D,A,B,C,B,A,D,D,D,E,C,B,A,A,B,C,A,D,A,D,B,A,A,E,A,E,C,B,A,D,B,A,A
1591,C,E,E,B,E,D,C,D,C,E,C,B,B,C,D,B,E,A,C,D,A,A,D,C,E,B,A,A,E,C,D,C,D,A,A,C,D,E,E,C,B,A,A,A,D,A,C,E,E,E,D,D,C,E,B,A,B,E,D,B,B,B,A,A,A,E,D,C,A,E,E,B,B,A,B,D,A,D,C,B,C,E,B,E,B,C,D,C,A,E,C,D
1592,C,E,D,B,C,D,E,A,C,E,C,A,C,D,B,B,D,D,C,B,D,A,C,C,D,B,A,A,E,D,E,C,B,A,C,B,B,E,B,D,B,C,D,D,E,C,E,C,E,C,A,A,E,E,E,D,B,C,D,E,A,B,A,B,C,D,A,C,D,C,E,B,B,E,E,A,B,E,A,B,C,A,E,E,D,E,B,2,D,C,B,A
1593,D,B,E,A,E,D,D,C,D,B,C,E,B,A,D,C,A,D,A,D,A,C,B,C,D,B,A,C,B,C,B,C,D,A,E,E,D,E,A,D,B,B,B,C,A,D,E,A,C,E,D,D,E,B,B,A,D,B,A,D,B,B,A,E,B,A,B,B,C,A,E,E,C,C,B,C,D,D,A,E,A,A,B,A,C,D,A,A,E,A,A,D
1594,A,A,D,A,E,C,A,D,B,E,C,C,C,C,D,B,C,C,C,C,C,C,C,C,E,A,A,E,E,A,E,C,E,A,A,A,D,E,B,B,A,A,A,A,D,D,E,D,C,A,D,D,C,E,A,A,B,E,A,E,A,A,E,A,B,E,D,B,E,B,E,D,B,B,D,E,B,B,D,D,D,A,E,2,C,B,E,D,D,D,B,D
